time="2023-12-25T12:20:40.637" level=info msg="Starting kbench..."
time="2023-12-25T12:20:40.648" level=info msg="Created a new Pod manager."
time="2023-12-25T12:20:40.658" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2023-12-25T12:23:14.731" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:14.731" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:17.733" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:17.733" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:20.736" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:20.736" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:23.737" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:23.737" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:26.739" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:26.739" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:29.741" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:29.741" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:32.743" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:32.743" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:35.744" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:35.744" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:38.746" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:38.746" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:41.747" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:41.747" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:44.749" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:44.749" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:47.751" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:47.751" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:50.752" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:50.752" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:53.754" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:53.754" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:56.756" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:56.756" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:59.757" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:59.757" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:02.759" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:02.759" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:05.761" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:05.761" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:08.763" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:08.763" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:11.764" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:11.764" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:14.766" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:14.766" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:17.768" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:17.768" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:20.770" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:20.770" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:23.772" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:23.772" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:26.773" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:26.773" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:29.775" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:29.775" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:32.777" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:32.777" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:35.778" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:35.778" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:38.780" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:38.780" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:41.782" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:41.782" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:44.784" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:44.784" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:47.785" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:47.785" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:50.787" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:50.787" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:53.789" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:53.789" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:56.790" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:56.790" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:24:59.792" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:24:59.792" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:02.794" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:02.794" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:05.796" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:05.796" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:08.797" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:08.797" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:11.799" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:11.799" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:14.801" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:14.801" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:17.803" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:17.803" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:20.804" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:20.804" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:23.806" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:23.806" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:26.807" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:26.807" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:29.809" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:29.809" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:32.811" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:32.811" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:35.813" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:35.813" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:38.814" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:38.814" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:41.816" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:41.816" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:44.817" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:44.817" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:47.819" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:47.819" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:50.821" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:50.821" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:53.822" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:53.822" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:56.824" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:56.824" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:25:59.826" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:25:59.826" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:02.828" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:02.828" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:05.829" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:05.829" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:08.831" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:08.831" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:11.833" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:11.833" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:14.835" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:14.835" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:17.837" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:17.837" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:20.838" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:20.839" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:23.840" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:23.840" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:26.842" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:26.842" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:29.844" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:29.844" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:32.845" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:32.845" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:35.847" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:35.847" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:38.849" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:38.849" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:41.850" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:41.850" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:44.852" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:44.852" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:47.854" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:47.854" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:50.856" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:50.856" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:53.858" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:53.858" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:56.860" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:56.860" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:26:59.861" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:26:59.861" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:02.863" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:02.863" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:05.865" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:05.865" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:08.866" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:08.866" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:11.868" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:11.868" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:14.870" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:14.870" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:17.872" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:17.872" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:20.873" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:20.873" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:23.875" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:23.875" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:26.877" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:26.877" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:29.878" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:29.878" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:32.880" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:32.880" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:35.882" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:35.882" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:38.884" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:38.884" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:41.886" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:41.886" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:44.888" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:44.888" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:47.889" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:47.889" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:50.891" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:50.891" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:53.892" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:53.892" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:56.894" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:56.894" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:27:59.895" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:27:59.895" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:02.897" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:02.897" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:05.899" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:05.899" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:08.901" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:08.901" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:11.902" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:11.902" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:14.904" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:14.904" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:17.905" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:17.905" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:20.907" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:20.907" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:23.922" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:23.922" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:26.924" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:26.924" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:29.925" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:29.925" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:32.927" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:32.927" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:35.929" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:35.929" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:38.931" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:38.931" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:41.932" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:41.932" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:44.934" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:44.934" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:47.936" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:47.936" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:50.938" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:50.938" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:53.939" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:53.939" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:56.941" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:56.941" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:28:59.943" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:28:59.943" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:02.945" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:02.945" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:05.946" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:05.946" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:08.948" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:08.948" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:11.950" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:11.950" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:14.952" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:14.952" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:17.953" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:17.953" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:20.955" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:20.955" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:23.957" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:23.957" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:26.958" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:26.958" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:29.960" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:29.960" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:32.962" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:32.962" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:35.963" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:35.963" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:38.965" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:38.965" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:41.967" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:41.967" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:44.968" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:44.968" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:47.970" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:47.970" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:50.972" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:29:50.972" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:29:53.974" level=warning msg="Resource predicate not passed, pod is not running..."
