time="2024-03-21T03:36:04.093" level=info msg="Starting kbench..."
time="2024-03-21T03:36:04.096" level=info msg="Created a new Pod manager."
time="2024-03-21T03:36:04.105" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-21T03:38:15.571" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:15.571" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:18.690" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:18.690" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:18.690" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:21.813" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:21.813" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:21.813" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:24.954" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:24.954" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:24.954" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:28.079" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:28.079" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:28.079" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:31.203" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:31.203" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:31.203" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:34.321" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:34.321" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:34.321" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:37.433" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:37.433" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:37.433" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:40.558" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:40.558" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:40.558" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:43.683" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:43.683" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:43.683" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:46.807" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:46.807" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:46.807" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:49.969" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:49.969" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:49.969" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:53.090" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:53.090" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:53.090" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:56.208" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:56.208" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:56.208" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:38:59.337" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:38:59.337" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:38:59.337" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:02.461" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:02.461" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:02.462" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:05.577" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:05.577" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:05.577" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:08.690" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:08.691" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:08.691" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:11.802" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:11.802" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:11.802" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:14.936" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:14.936" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:14.936" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:18.057" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:18.057" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:18.057" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:21.176" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:21.176" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:21.176" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:24.300" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:24.300" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:24.300" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:27.425" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:27.425" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:27.425" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:30.551" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:30.551" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:30.551" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:33.678" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:33.678" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:33.678" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:36.802" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:36.802" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:36.802" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:39.985" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:39.985" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:39.985" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:43.109" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:43.109" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:43.109" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:46.240" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:46.241" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:46.241" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:49.391" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:49.391" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:49.391" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:52.522" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:52.522" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:52.523" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:55.644" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:55.644" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:55.644" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:39:58.764" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:39:58.764" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:39:58.764" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:01.891" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:40:01.891" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:01.891" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:05.029" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:40:05.029" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:05.029" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:08.155" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:40:08.155" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:08.155" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:11.275" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:40:11.275" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:11.275" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:14.392" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:40:14.393" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:14.393" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:17.523" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:40:17.523" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:17.523" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:40:50.532" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:40:50.532" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:40:50.532" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:23.549" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:23.549" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:23.549" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:29.624" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:29.624" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:29.624" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:32.691" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:32.691" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:32.691" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:38.772" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:38.772" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:38.772" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:41.843" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:41.844" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:41.844" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:47.924" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:47.924" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:47.924" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:50.999" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:50.999" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:50.999" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:56.276" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:56.276" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:56.276" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:41:59.348" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-21T03:41:59.348" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:41:59.348" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:02.479" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:02.479" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:02.479" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:05.599" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:05.599" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:05.599" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:08.735" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:08.735" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:08.735" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:11.864" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:11.864" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:11.864" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:15.024" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:15.024" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:15.024" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:18.145" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:18.145" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:18.145" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:21.266" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:21.267" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:21.267" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:24.425" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:24.425" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:24.425" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:27.561" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:27.561" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:27.561" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:30.683" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:30.683" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:30.683" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:33.795" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:33.795" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:33.796" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:36.940" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:36.940" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:36.940" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:40.070" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:40.070" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:40.070" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:43.199" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:43.199" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:43.199" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T03:42:46.339" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T03:42:46.339" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T03:42:46.339" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
