time="2024-03-04T15:45:45.595" level=info msg="Starting kbench..."
time="2024-03-04T15:45:45.603" level=info msg="Created a new Pod manager."
time="2024-03-04T15:45:45.609" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-04T15:48:25.731" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:25.731" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:28.826" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:28.826" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:28.826" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:31.921" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:31.921" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:31.921" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:35.018" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:35.018" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:35.018" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:38.114" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:38.114" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:38.114" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:41.208" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:41.208" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:41.208" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:44.302" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:44.303" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:44.303" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:47.396" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:47.397" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:47.397" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:50.491" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:50.491" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:50.491" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:53.579" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:53.579" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:53.579" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:56.676" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:56.676" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:56.676" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:48:59.766" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:48:59.766" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:48:59.766" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:02.864" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:02.864" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:02.864" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:05.966" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:05.966" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:05.966" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:09.065" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:09.065" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:09.065" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:12.163" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:12.163" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:12.163" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:15.274" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:15.274" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:15.274" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:18.370" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:18.370" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:18.370" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:21.465" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:21.465" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:21.465" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:24.561" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:24.561" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:24.561" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:27.656" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:27.656" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:27.656" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:30.765" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:30.765" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:30.765" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:33.865" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:33.865" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:33.865" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:36.961" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:36.961" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:36.961" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:40.057" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:40.057" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:40.057" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:43.156" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:43.156" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:43.156" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:46.254" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:46.254" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:46.254" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:49.348" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:49.348" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:49.348" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:52.445" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:52.445" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:52.445" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:55.537" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:55.537" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:55.537" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:49:58.621" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:49:58.621" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:49:58.621" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:50:58.973" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:50:58.973" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:50:58.973" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:01.979" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:01.979" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:01.979" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:04.986" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:04.986" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:04.986" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:07.992" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:07.992" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:07.992" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:10.999" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:10.999" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:10.999" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:14.006" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:14.006" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:14.006" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:17.012" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:17.012" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:17.012" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:20.019" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:20.019" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:20.019" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:23.025" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:23.025" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:23.025" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:26.032" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:26.032" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:26.032" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:29.039" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:29.039" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:29.039" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:32.045" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:32.045" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:32.045" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:35.051" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:35.051" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:35.051" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:38.058" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:38.058" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:38.058" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:41.064" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: "
time="2024-03-04T15:51:41.064" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:41.064" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:44.167" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:51:44.167" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:44.167" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:47.270" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:51:47.270" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:47.270" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:50.366" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:51:50.366" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:50.366" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:53.471" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:51:53.471" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:53.471" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:56.564" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:51:56.564" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:56.564" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:51:59.658" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:51:59.658" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:51:59.658" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:02.755" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:02.755" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:02.755" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:05.855" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:05.855" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:05.855" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:08.988" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:08.988" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:08.988" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:12.085" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:12.085" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:12.085" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:15.181" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:15.181" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:15.181" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:18.279" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:18.279" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:18.279" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:21.370" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:21.370" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:21.370" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:24.462" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:24.462" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:24.462" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:27.560" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:27.560" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:27.560" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:30.657" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:30.657" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:30.657" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:33.753" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:33.753" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:33.753" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:36.849" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:36.849" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:36.849" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:39.944" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:39.944" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:39.944" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:43.049" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:43.049" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:43.049" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:46.152" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:46.152" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:46.152" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:49.251" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:49.251" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:49.251" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:52.349" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:52.349" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-04T15:52:52.349" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-04T15:52:55.444" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-04T15:52:55.444" level=warning msg="Command predicate not passed, output does not contain specified string"
