time="2024-03-08T11:56:10.277" level=info msg="Starting kbench..."
time="2024-03-08T11:56:10.279" level=info msg="Created a new Pod manager."
time="2024-03-08T11:56:10.288" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-08T11:58:02.885" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:02.885" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:02.885" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:05.999" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:05.999" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:05.999" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:09.116" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:09.116" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:09.116" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:12.227" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:12.227" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:12.227" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:15.330" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:15.330" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:15.330" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:18.534" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:18.534" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:18.534" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:21.651" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:21.651" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:21.651" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:24.762" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:24.762" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:24.762" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:27.866" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:27.866" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:27.866" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:30.980" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:30.980" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:30.980" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:34.102" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:34.102" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:34.102" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:37.209" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:37.209" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:37.209" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:40.325" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:40.325" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:40.325" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:43.432" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:43.432" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:43.432" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:46.542" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:46.542" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:46.542" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:49.650" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:49.650" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:49.650" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:52.758" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:52.758" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:52.758" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:55.868" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:55.868" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:55.868" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:58:58.989" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:58:58.989" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:58:58.989" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:02.099" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:02.099" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:02.099" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:05.208" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:05.208" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:05.208" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:08.315" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:08.315" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:08.315" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:11.425" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:11.425" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:11.425" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:14.544" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:14.544" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:14.544" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:17.652" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:17.652" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:17.652" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:20.755" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:20.755" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:20.755" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:23.864" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:23.864" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:23.864" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:26.982" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:26.982" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:26.982" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:30.091" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:30.091" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:30.091" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:33.201" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:33.201" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:33.201" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:36.311" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:36.311" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:36.311" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:39.427" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:39.427" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:39.427" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:42.541" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:42.541" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:42.541" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:45.651" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:45.651" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:45.651" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:48.773" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:48.774" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:48.774" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:51.876" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:51.876" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:51.876" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:54.999" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:54.999" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:54.999" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T11:59:58.111" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T11:59:58.111" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T11:59:58.111" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:01.218" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:01.219" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:01.219" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:04.373" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:04.374" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:04.374" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:07.490" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:07.490" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:07.490" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:10.599" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:10.599" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:10.599" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:13.707" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:13.707" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:13.707" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:16.825" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:16.825" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:16.825" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:19.939" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:19.939" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:19.939" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:23.057" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:23.057" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:23.057" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:00:26.169" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:00:26.169" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:00:26.169" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:25.046" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:25.046" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:25.046" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:28.179" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:28.179" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:28.179" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:31.292" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:31.292" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:31.292" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:34.402" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:34.403" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:34.403" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:37.517" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:37.517" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:37.517" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:40.631" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:40.631" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:40.631" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:43.743" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:43.743" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:43.743" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:46.864" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:46.864" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:46.864" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:49.981" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:49.981" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:49.981" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:53.101" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:53.101" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:53.101" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:56.222" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:56.222" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:56.222" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:02:59.333" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:02:59.333" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:02:59.333" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:02.441" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:02.441" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:02.441" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:05.552" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:05.552" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:05.552" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:08.662" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:08.662" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:08.662" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:11.785" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:11.785" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:11.785" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:14.898" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:14.898" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:14.898" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:18.009" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:18.009" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:18.009" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:21.118" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:21.118" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:21.119" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:24.235" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:24.235" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:24.235" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:27.348" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:27.348" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:27.348" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-08T12:03:30.461" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-08T12:03:30.461" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-08T12:03:30.461" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
