time="2024-03-21T05:35:27.017" level=info msg="Starting kbench..."
time="2024-03-21T05:35:27.019" level=info msg="Created a new Pod manager."
time="2024-03-21T05:35:27.037" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-21T05:39:12.820" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:12.820" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:12.820" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:15.949" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:15.949" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:15.949" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:19.075" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:19.075" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:19.075" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:22.200" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:22.200" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:22.200" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:25.341" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:25.341" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:25.341" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:28.458" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:28.459" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:28.459" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:31.582" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:31.582" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:31.582" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:34.719" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:34.719" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:34.719" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:37.849" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:37.849" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:37.849" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:40.970" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:40.970" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:40.970" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:44.092" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:44.092" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:44.092" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:47.215" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:47.215" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:47.215" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:50.348" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:50.348" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:50.348" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:53.478" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:53.478" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:53.478" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:56.594" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:56.594" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:56.594" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:59.712" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:59.712" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:59.712" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:02.841" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:02.841" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:02.841" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:05.952" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:05.952" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:05.952" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:09.087" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:09.087" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:09.087" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:12.222" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:12.222" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:12.222" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:15.352" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:15.352" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:15.353" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:18.474" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:18.474" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:18.474" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:21.579" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:21.579" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:21.579" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:24.701" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:24.701" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:24.701" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:27.812" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:27.812" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:27.812" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:30.938" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:30.938" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:30.938" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:34.053" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:34.053" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:34.053" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:37.176" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:37.176" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:37.176" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:40.298" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:40.298" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:40.298" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:43.430" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:43.430" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:43.430" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:46.552" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:46.552" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:46.552" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:49.668" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:49.668" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:49.668" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:52.786" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:52.786" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:52.786" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:55.917" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:55.917" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:55.917" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:40:59.037" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:40:59.037" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:40:59.037" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:02.161" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:02.161" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:02.162" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:05.294" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:05.294" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:05.295" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:08.432" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:08.432" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:08.432" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:11.548" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:11.548" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:11.548" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:14.672" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:14.672" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:14.673" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:17.805" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:17.806" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:17.806" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:20.924" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:20.924" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:20.924" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:24.045" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:24.045" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:24.045" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:27.165" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:27.165" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:27.165" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:30.293" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:30.293" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:41:30.293" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:41:33.428" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:41:33.428" level=warning msg="Command predicate not passed, output does not contain specified string"
